OBJECTID,DATE,PERIOD,PERLEN,EXCHID,NLAPAG1LOTOT,NLAPAG2LOTOT,NLAPAG1RESUCC,NLAPAG2RESUCC,NLAPAGERR,NLALOCSSRFLT,NLALOCTOT,NLALOCSUCC,NLALOCPRRFLT,NLALNOTOT,NLALNOSUCC,NLALNNTOT,NLALNNSUCC,NLALIOTOT,NLALIOSUCC,NLALPETOT,NLALPESUCC,NLAL2ONTOT,NLAL2NOSUCC,NLAL2IOTOT,NLAL2OISUCC,NLLALOCTOT,NLLALNOTOT,NLLALNNTOT,NLLALIOTOT,NLLALPETOT,NLLAREGSUB,NLLAATTSUB,NLLAGPRSATTSUB,NLASATSGS
4600054769,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-0491,386,,1006,38,964,10,2,0,6343,5781,0,4048,4025,750,216,238,234,1295,1295,0,0,0,0,0,0,0,0,0,16193,15377,0,11656
4600021905,20190209,1800-0491,386,,1032,39,993,17,7,0,6900,6007,0,3890,3872,929,70,530,529,1519,1517,0,0,0,0,0,0,0,0,0,20961,19734,0,15633
4600022167,20190209,1800-0491,386,,582,49,533,6,2,0,4405,3997,0,1912,1901,1469,1076,114,114,900,899,0,0,0,0,0,0,0,0,0,11031,10480,0,7884
4600022162,20190209,1800-0491,386,,604,57,546,9,2,0,5000,4748,0,3289,3269,688,460,217,216,760,760,0,0,0,0,0,0,0,0,0,9888,9332,0,7042
4600021906,20190209,1800-0491,386,,384,48,337,6,0,0,2878,2713,0,2094,2088,215,56,76,76,489,489,0,0,0,0,0,0,0,0,0,4657,4397,0,3105
4600054768,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-0491,386,,754,33,718,4,3,0,6202,5459,0,3626,3599,1177,468,487,483,893,891,0,0,0,0,0,0,0,0,0,16093,15232,0,12635
4600021912,20190209,1800-0491,386,,1269,177,1093,25,13,0,9786,9356,0,7526,7499,593,194,394,394,1260,1259,0,0,0,0,0,0,0,0,0,16615,15842,0,11923
4600022161,20190209,1800-0491,386,,393,59,333,7,0,0,3033,2929,0,2172,2169,261,162,146,145,451,451,0,0,0,0,0,0,0,0,0,4845,4613,0,3292
4600054771,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021913,20190209,1800-0491,386,,965,64,901,14,3,0,4640,4051,0,2400,2376,799,237,325,323,1088,1087,0,0,0,0,0,0,0,0,0,15893,15145,0,12057
4600021914,20190209,1800-0491,386,,846,67,774,9,4,0,5656,5198,0,3890,3865,608,178,147,147,999,996,0,0,0,0,0,0,0,0,0,12146,11566,0,8682
4600022160,20190209,1800-0491,386,,414,42,375,10,1,0,3382,3208,0,2592,2584,258,93,50,50,472,472,0,0,0,0,0,0,0,0,0,6564,6264,0,4783
4600021919,20190209,1800-0491,386,,914,64,847,11,4,0,5373,4751,0,2901,2893,990,381,240,239,1192,1191,0,0,0,0,0,0,0,0,0,16219,15471,0,12333
4600022164,20190209,1800-0491,386,,853,112,740,11,1,0,6218,6017,0,4700,4687,402,215,140,140,964,964,0,0,0,0,0,0,0,0,0,11634,11099,0,8196
4600022169,20190209,1800-0491,386,,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0
